JFSFILE,JFS Filespace %Used VM-12-13-centos,/dev,/run,/
JFSFILE,T0288,0.0,0.0,9.6
JFSFILE,T0289,0.0,0.0,9.6
JFSFILE,T0290,0.0,0.0,9.6
JFSFILE,T0291,0.0,0.0,9.6
JFSFILE,T0292,0.0,0.0,9.6
JFSFILE,T0293,0.0,0.0,9.6
JFSFILE,T0294,0.0,0.0,9.6
JFSFILE,T0295,0.0,0.0,9.6
JFSFILE,T0296,0.0,0.0,9.6
JFSFILE,T0297,0.0,0.0,9.6
JFSFILE,T0298,0.0,0.0,9.6
JFSFILE,T0299,0.0,0.0,9.6
JFSFILE,T0300,0.0,0.0,9.6
JFSFILE,T0301,0.0,0.0,9.6
JFSFILE,T0302,0.0,0.0,9.6
JFSFILE,T0303,0.0,0.0,9.6
