DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0424,8.4,8.4,0.0
DISKXFER,T0425,2.2,2.2,0.0
DISKXFER,T0426,9.8,9.6,0.0
DISKXFER,T0427,2.2,2.2,0.0
DISKXFER,T0428,8.8,8.8,0.0
DISKXFER,T0429,7.0,7.0,0.0
DISKXFER,T0430,8.0,8.0,0.0
DISKXFER,T0431,0.4,0.4,0.0
DISKXFER,T0432,25.2,25.2,0.0
DISKXFER,T0433,0.4,0.4,0.0
DISKXFER,T0434,9.8,9.8,0.0
DISKXFER,T0435,0.4,0.4,0.0
DISKXFER,T0436,9.8,9.8,0.0
DISKXFER,T0437,6.0,6.0,0.0
DISKXFER,T0438,10.8,10.8,0.0
DISKXFER,T0439,0.4,0.4,0.0
DISKXFER,T0440,9.8,9.8,0.0
DISKXFER,T0441,0.0,0.0,0.0
DISKXFER,T0442,8.4,8.4,0.0
DISKXFER,T0443,2.0,2.0,0.0
DISKXFER,T0444,23.8,23.8,0.0
DISKXFER,T0445,2.0,2.0,0.0
DISKXFER,T0446,8.4,8.4,0.0
DISKXFER,T0447,2.2,2.2,0.0
DISKXFER,T0448,8.0,8.0,0.0
DISKXFER,T0449,2.6,2.6,0.0
DISKXFER,T0450,8.8,8.8,0.0
DISKXFER,T0451,7.0,7.0,0.0
DISKXFER,T0452,8.4,8.4,0.0
DISKXFER,T0453,0.6,0.6,0.0
DISKXFER,T0454,10.4,10.4,0.0
DISKXFER,T0455,0.4,0.4,0.0
DISKXFER,T0456,38.2,38.2,0.0
DISKXFER,T0457,0.6,0.6,0.0
DISKXFER,T0458,16.4,16.4,0.0
DISKXFER,T0459,0.6,0.6,0.0
DISKXFER,T0460,10.4,10.4,0.0
DISKXFER,T0461,0.6,0.6,0.0
DISKXFER,T0462,11.2,11.2,0.0
DISKXFER,T0463,0.2,0.2,0.0
DISKXFER,T0464,8.6,8.6,0.0
DISKXFER,T0465,7.4,7.4,0.0
DISKXFER,T0466,9.0,9.0,0.0
DISKXFER,T0467,2.0,2.0,0.0
DISKXFER,T0468,19.2,19.2,0.0
DISKXFER,T0469,2.2,2.2,0.0
DISKXFER,T0470,8.2,8.2,0.0
DISKXFER,T0471,2.4,2.4,0.0
DISKXFER,T0472,12.2,12.2,0.0
DISKXFER,T0473,2.6,2.6,0.0
DISKXFER,T0474,8.6,8.6,0.0
DISKXFER,T0475,0.6,0.6,0.0
DISKXFER,T0476,9.8,9.8,0.0
DISKXFER,T0477,0.6,0.6,0.0
DISKXFER,T0478,10.0,10.0,0.0
DISKXFER,T0479,5.2,5.2,0.0
DISKXFER,T0480,20.8,20.8,0.0
DISKXFER,T0481,0.4,0.4,0.0
DISKXFER,T0482,9.8,9.8,0.0
DISKXFER,T0483,0.4,0.4,0.0
DISKXFER,T0484,10.2,10.2,0.0
DISKXFER,T0485,0.0,0.0,0.0
DISKXFER,T0486,15.2,15.0,0.0
DISKXFER,T0487,2.8,2.8,0.0
DISKXFER,T0488,8.6,8.6,0.0
DISKXFER,T0489,1.8,1.8,0.0
DISKXFER,T0490,8.8,8.8,0.0
DISKXFER,T0491,2.4,2.4,0.0
DISKXFER,T0492,16.2,16.2,0.0
DISKXFER,T0493,6.4,6.4,0.0
DISKXFER,T0494,8.4,8.4,0.0
DISKXFER,T0495,2.4,2.4,0.0
DISKXFER,T0496,8.2,8.2,0.0
DISKXFER,T0497,0.6,0.6,0.0
DISKXFER,T0498,10.6,10.6,0.0
DISKXFER,T0499,0.6,0.6,0.0
DISKXFER,T0500,14.2,14.2,0.0
DISKXFER,T0501,0.8,0.8,0.0
DISKXFER,T0502,10.0,10.0,0.0
DISKXFER,T0503,0.4,0.4,0.0
DISKXFER,T0504,21.2,21.2,0.0
DISKXFER,T0505,0.4,0.4,0.0
DISKXFER,T0506,10.0,10.0,0.0
DISKXFER,T0507,4.0,4.0,0.0
DISKXFER,T0508,8.8,8.8,0.0
DISKXFER,T0509,1.8,1.8,0.0
DISKXFER,T0510,9.6,9.6,0.0
DISKXFER,T0511,2.2,2.2,0.0
DISKXFER,T0512,8.6,8.6,0.0
DISKXFER,T0513,2.4,2.4,0.0
DISKXFER,T0514,13.2,13.2,0.0
DISKXFER,T0515,2.6,2.6,0.0
DISKXFER,T0516,28.4,28.4,0.0
DISKXFER,T0517,2.2,2.2,0.0
DISKXFER,T0518,8.2,8.2,0.0
DISKXFER,T0519,2.6,2.6,0.0
DISKXFER,T0520,8.2,8.2,0.0
DISKXFER,T0521,5.8,5.8,0.0
DISKXFER,T0522,10.8,10.8,0.0
DISKXFER,T0523,0.4,0.4,0.0
DISKXFER,T0524,10.2,10.2,0.0
DISKXFER,T0525,0.4,0.4,0.0
DISKXFER,T0526,9.8,9.8,0.0
DISKXFER,T0527,0.6,0.6,0.0
DISKXFER,T0528,25.2,25.2,0.0
DISKXFER,T0529,0.6,0.6,0.0
DISKXFER,T0530,9.8,9.8,0.0
DISKXFER,T0531,0.4,0.4,0.0
DISKXFER,T0532,8.0,8.0,0.0
DISKXFER,T0533,1.8,1.8,0.0
DISKXFER,T0534,10.2,10.2,0.0
DISKXFER,T0535,8.2,8.2,0.0
DISKXFER,T0536,8.8,8.8,0.0
DISKXFER,T0537,2.2,2.2,0.0
DISKXFER,T0538,8.2,8.2,0.0
DISKXFER,T0539,2.2,2.2,0.0
DISKXFER,T0540,19.2,19.2,0.0
DISKXFER,T0541,2.6,2.6,0.0
DISKXFER,T0542,12.0,12.0,0.0
DISKXFER,T0543,0.8,0.8,0.0
DISKXFER,T0544,9.8,9.8,0.0
DISKXFER,T0545,0.4,0.4,0.0
DISKXFER,T0546,11.8,11.6,0.0
DISKXFER,T0547,0.5,0.5,0.0
DISKXFER,T0548,10.0,10.0,0.0
DISKXFER,T0549,5.6,5.6,0.0
DISKXFER,T0550,10.2,10.2,0.0
DISKXFER,T0551,0.4,0.4,0.0
DISKXFER,T0552,17.2,17.2,0.0
DISKXFER,T0553,2.0,2.0,0.0
DISKXFER,T0554,8.4,8.4,0.0
DISKXFER,T0555,2.0,2.0,0.0
DISKXFER,T0556,12.8,12.8,0.0
DISKXFER,T0557,2.0,2.0,0.0
DISKXFER,T0558,9.0,9.0,0.0
DISKXFER,T0559,16.0,16.0,0.0
DISKXFER,T0560,8.0,8.0,0.0
DISKXFER,T0561,2.2,2.2,0.0
DISKXFER,T0562,8.4,8.4,0.0
DISKXFER,T0563,6.6,6.6,0.0
DISKXFER,T0564,10.8,10.8,0.0
DISKXFER,T0565,0.4,0.4,0.0
DISKXFER,T0566,9.8,9.8,0.0
DISKXFER,T0567,0.4,0.4,0.0
DISKXFER,T0568,9.8,9.8,0.0
DISKXFER,T0569,0.6,0.6,0.0
DISKXFER,T0570,17.8,17.8,0.0
DISKXFER,T0571,0.8,0.8,0.0
DISKXFER,T0572,10.0,10.0,0.0
DISKXFER,T0573,0.4,0.4,0.0
DISKXFER,T0574,8.0,8.0,0.0
DISKXFER,T0575,1.8,1.8,0.0
DISKXFER,T0576,26.0,26.0,0.0
DISKXFER,T0577,6.8,6.8,0.0
DISKXFER,T0578,8.8,8.8,0.0
DISKXFER,T0579,1.8,1.8,0.0
DISKXFER,T0580,8.4,8.4,0.0
DISKXFER,T0581,2.2,2.2,0.0
DISKXFER,T0582,8.6,8.6,0.0
DISKXFER,T0583,2.6,2.6,0.0
DISKXFER,T0584,11.8,11.8,0.0
DISKXFER,T0585,0.8,0.8,0.0
